                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2389,                 2.6507,                0.98517,                0.60746,                0.77239,                0.65437,                0.48249,                0.96398,                 1.1464,                0.88817,               0.003331,               0.003331,               0.003331
                      2,                 1.0233,                 1.2557,                0.90105,                0.65528,                0.81926,                0.69682,                0.52089,                0.93849,                 1.0137,                0.87479,              0.0065984,              0.0065984,              0.0065984
                      3,                 1.0176,                 1.2033,                0.89753,                 0.6729,                0.83598,                0.71106,                 0.5304,                0.92445,                0.97439,                0.87474,              0.0097997,              0.0097997,              0.0097997
                      4,                 1.0112,                 1.1768,                0.89313,                0.69366,                0.87855,                0.73126,                0.55536,                0.86246,                0.86273,                0.86333,               0.009703,               0.009703,               0.009703
                      5,                0.98236,                 1.0936,                0.88915,                0.70887,                0.89643,                0.74454,                0.57291,                0.83416,                0.80351,                 0.8567,               0.009604,               0.009604,               0.009604
                      6,                0.95369,                 1.0361,                0.88352,                0.70725,                0.92254,                0.75131,                0.58493,                0.79614,                0.75748,                0.84951,               0.009505,               0.009505,               0.009505
                      7,                0.93404,                0.99607,                0.87683,                0.71265,                0.92898,                0.75581,                0.59175,                0.77652,                 0.7257,                0.84609,               0.009406,               0.009406,               0.009406
                      8,                0.92698,                0.98274,                0.87806,                0.71468,                0.93387,                0.75568,                0.59447,                 0.7625,                0.70758,                0.84334,               0.009307,               0.009307,               0.009307
                      9,                0.91488,                0.96162,                0.87691,                0.71794,                0.93636,                0.76112,                    0.6,                0.75286,                0.69374,                0.84145,               0.009208,               0.009208,               0.009208
                     10,                0.90412,                0.94452,                0.87342,                0.71823,                0.94053,                0.76255,                0.60429,                0.74546,                0.68635,                0.83997,               0.009109,               0.009109,               0.009109
                     11,                0.90035,                0.92186,                0.87184,                0.71918,                0.94254,                0.76234,                0.60489,                0.74049,                0.67963,                0.83901,                0.00901,                0.00901,                0.00901
                     12,                0.88838,                0.91366,                0.87053,                0.71955,                0.94512,                0.76428,                0.60764,                0.73705,                 0.6748,                0.83826,               0.008911,               0.008911,               0.008911
                     13,                0.88132,                0.90297,                0.86759,                0.71698,                0.95067,                0.76412,                0.60832,                0.73513,                0.67094,                0.83792,               0.008812,               0.008812,               0.008812
                     14,                0.87928,                0.89644,                0.87027,                0.71803,                0.94993,                0.76442,                0.60908,                0.73261,                 0.6685,                0.83742,               0.008713,               0.008713,               0.008713
                     15,                0.87597,                0.89123,                0.86824,                0.71951,                0.94781,                0.76455,                0.60977,                 0.7301,                0.66596,                 0.8369,               0.008614,               0.008614,               0.008614
                     16,                 0.8715,                0.89006,                 0.8669,                 0.7196,                0.94984,                0.76461,                0.61053,                0.72785,                0.66439,                0.83653,               0.008515,               0.008515,               0.008515
                     17,                0.86901,                0.88418,                0.86693,                0.71759,                  0.953,                0.76499,                0.61109,                0.72569,                0.66263,                0.83623,               0.008416,               0.008416,               0.008416
                     18,                0.86841,                0.87809,                 0.8656,                0.71753,                0.95592,                0.76514,                0.61103,                0.72418,                0.66064,                0.83599,               0.008317,               0.008317,               0.008317
                     19,                0.85927,                0.87691,                0.86468,                 0.7192,                0.95424,                0.76416,                0.61116,                 0.7224,                0.65886,                0.83573,               0.008218,               0.008218,               0.008218
                     20,                 0.8593,                0.86992,                 0.8656,                0.71956,                0.95514,                0.76524,                0.61261,                0.72064,                0.65685,                 0.8354,               0.008119,               0.008119,               0.008119
                     21,                0.85517,                0.85578,                0.86343,                0.72017,                0.95597,                0.76468,                0.61258,                0.71881,                0.65485,                0.83511,                0.00802,                0.00802,                0.00802
                     22,                0.85318,                0.85153,                 0.8614,                0.71997,                0.95821,                0.76519,                0.61279,                0.71706,                0.65293,                0.83484,               0.007921,               0.007921,               0.007921
                     23,                 0.8509,                0.85359,                0.86355,                0.71906,                0.95954,                0.76484,                 0.6129,                0.71506,                0.65139,                0.83445,               0.007822,               0.007822,               0.007822
                     24,                0.84327,                0.84797,                0.86126,                0.71887,                0.96125,                0.76518,                0.61374,                0.71278,                0.64953,                0.83401,               0.007723,               0.007723,               0.007723
                     25,                0.84521,                0.84432,                0.86422,                0.71917,                0.96266,                0.76505,                0.61433,                0.71101,                0.64787,                0.83374,               0.007624,               0.007624,               0.007624
                     26,                0.84175,                0.84126,                0.86025,                0.71948,                0.96442,                0.76637,                0.61556,                0.70963,                0.64601,                0.83339,               0.007525,               0.007525,               0.007525
                     27,                0.84117,                0.84453,                0.86128,                 0.7207,                0.96288,                0.76564,                0.61503,                0.70782,                0.64428,                0.83304,               0.007426,               0.007426,               0.007426
                     28,                0.82675,                0.83063,                0.85928,                 0.7218,                0.96207,                0.76512,                0.61505,                0.70623,                0.64246,                 0.8327,               0.007327,               0.007327,               0.007327
                     29,                0.83576,                0.83457,                0.85852,                0.72219,                0.96201,                0.76522,                0.61521,                0.70474,                 0.6409,                0.83234,               0.007228,               0.007228,               0.007228
                     30,                0.82828,                0.82526,                0.85811,                0.72166,                0.96326,                0.76544,                 0.6163,                 0.7034,                0.63954,                0.83204,               0.007129,               0.007129,               0.007129
                     31,                0.83321,                0.83464,                0.86007,                0.72113,                 0.9641,                0.76586,                0.61693,                0.70216,                0.63823,                0.83176,                0.00703,                0.00703,                0.00703
                     32,                0.82843,                0.82321,                0.85819,                0.72122,                 0.9643,                0.76628,                0.61721,                0.70096,                0.63687,                0.83148,               0.006931,               0.006931,               0.006931
                     33,                0.82209,                0.82015,                0.85782,                0.72192,                0.96341,                0.76641,                0.61762,                0.69969,                0.63548,                0.83123,               0.006832,               0.006832,               0.006832
                     34,                0.82038,                0.81469,                0.85585,                0.72291,                 0.9621,                0.76634,                0.61775,                0.69838,                0.63376,                0.83106,               0.006733,               0.006733,               0.006733
                     35,                0.82236,                0.81913,                0.85713,                0.72345,                0.96258,                0.76586,                0.61754,                0.69743,                 0.6326,                0.83088,               0.006634,               0.006634,               0.006634
                     36,                0.81971,                0.81556,                0.85737,                0.72377,                0.96383,                0.76595,                0.61822,                0.69623,                0.63152,                0.83065,               0.006535,               0.006535,               0.006535
                     37,                 0.8195,                0.81435,                0.85778,                0.72419,                0.96398,                 0.7647,                 0.6175,                0.69513,                0.63049,                0.83046,               0.006436,               0.006436,               0.006436
                     38,                0.81431,                0.80215,                0.85581,                0.72435,                0.96392,                0.76638,                0.61889,                0.69406,                0.62921,                0.83031,               0.006337,               0.006337,               0.006337
                     39,                0.81892,                0.80926,                0.85666,                0.72401,                0.96595,                0.76568,                0.61889,                0.69332,                  0.628,                0.83018,               0.006238,               0.006238,               0.006238
                     40,                0.81263,                0.81108,                0.85543,                0.72365,                0.96664,                0.76552,                0.61905,                0.69271,                0.62725,                0.83003,               0.006139,               0.006139,               0.006139
                     41,                0.80791,                0.80718,                0.85538,                0.72335,                0.96824,                 0.7667,                0.62019,                0.69186,                0.62583,                0.82981,                0.00604,                0.00604,                0.00604
                     42,                0.81327,                0.79791,                0.85701,                 0.7247,                0.96596,                0.76557,                0.61945,                0.69092,                0.62489,                0.82966,               0.005941,               0.005941,               0.005941
                     43,                0.80505,                0.79851,                0.85459,                0.72475,                 0.9659,                0.76518,                0.61927,                0.69012,                0.62387,                 0.8295,               0.005842,               0.005842,               0.005842
                     44,                0.80556,                0.78831,                0.85413,                0.72528,                0.96507,                0.76461,                0.61913,                0.68864,                0.62313,                0.82923,               0.005743,               0.005743,               0.005743
                     45,                0.80898,                0.79677,                 0.8544,                0.72553,                0.96594,                0.76545,                0.62029,                0.68744,                0.62222,                0.82902,               0.005644,               0.005644,               0.005644
                     46,                0.79866,                0.79277,                0.85215,                0.72525,                0.96664,                0.76598,                0.62125,                0.68645,                0.62123,                0.82888,               0.005545,               0.005545,               0.005545
                     47,                0.80848,                0.79193,                0.85455,                0.72533,                0.96736,                0.76557,                0.62135,                0.68555,                0.62056,                0.82874,               0.005446,               0.005446,               0.005446
                     48,                0.79888,                 0.7847,                0.85304,                0.72553,                0.96655,                0.76527,                0.62155,                0.68465,                 0.6197,                0.82852,               0.005347,               0.005347,               0.005347
                     49,                0.79797,                0.77997,                0.85328,                0.72598,                0.96724,                0.76502,                0.62154,                0.68366,                0.61914,                0.82844,               0.005248,               0.005248,               0.005248
                     50,                0.80233,                 0.7834,                0.85363,                0.72535,                0.96838,                0.76485,                0.62126,                0.68278,                 0.6182,                0.82824,               0.005149,               0.005149,               0.005149
                     51,                0.79476,                0.78371,                0.85188,                0.72535,                0.96927,                0.76471,                0.62109,                  0.682,                0.61683,                0.82807,                0.00505,                0.00505,                0.00505
                     52,                0.79231,                0.77924,                0.84868,                0.72486,                0.97086,                0.76448,                0.62166,                0.68106,                0.61609,                0.82792,               0.004951,               0.004951,               0.004951
                     53,                0.78934,                0.77908,                0.85118,                0.72503,                0.96982,                0.76444,                 0.6217,                 0.6804,                0.61494,                0.82774,               0.004852,               0.004852,               0.004852
                     54,                 0.7909,                0.77617,                0.85317,                0.72434,                0.97143,                0.76417,                0.62178,                0.67972,                0.61414,                0.82765,               0.004753,               0.004753,               0.004753
                     55,                0.78928,                 0.7711,                0.85102,                0.72235,                0.97466,                0.76473,                0.62273,                0.67894,                0.61382,                0.82752,               0.004654,               0.004654,               0.004654
                     56,                 0.7819,                 0.7659,                0.85186,                0.72294,                0.97416,                0.76482,                0.62324,                0.67811,                0.61319,                0.82734,               0.004555,               0.004555,               0.004555
                     57,                0.78112,                0.75942,                0.85244,                0.72289,                0.97451,                0.76385,                0.62265,                0.67726,                0.61289,                0.82716,               0.004456,               0.004456,               0.004456
                     58,                0.77575,                0.76355,                0.84859,                0.72317,                0.97326,                0.76382,                 0.6223,                 0.6765,                0.61241,                0.82704,               0.004357,               0.004357,               0.004357
                     59,                0.77965,                0.75823,                0.84918,                0.72416,                 0.9715,                  0.764,                0.62298,                0.67556,                 0.6122,                0.82697,               0.004258,               0.004258,               0.004258
                     60,                0.77483,                0.76544,                0.84968,                0.72537,                0.96986,                0.76433,                0.62377,                0.67463,                0.61158,                0.82679,               0.004159,               0.004159,               0.004159
                     61,                0.77172,                0.75554,                0.84707,                0.72566,                0.96963,                0.76418,                 0.6236,                0.67389,                0.61072,                0.82671,                0.00406,                0.00406,                0.00406
                     62,                0.77308,                0.75615,                0.84798,                0.72531,                0.96958,                0.76344,                0.62341,                0.67298,                0.61033,                0.82656,               0.003961,               0.003961,               0.003961
                     63,                0.77468,                0.75305,                0.84699,                 0.7244,                 0.9729,                0.76354,                0.62354,                 0.6722,                0.60984,                0.82649,               0.003862,               0.003862,               0.003862
                     64,                0.76938,                0.75149,                0.84708,                0.72394,                0.97504,                0.76356,                0.62425,                0.67141,                0.60933,                0.82634,               0.003763,               0.003763,               0.003763
                     65,                0.77195,                 0.7531,                0.84935,                0.72517,                0.97354,                0.76297,                0.62384,                0.67056,                0.60849,                0.82618,               0.003664,               0.003664,               0.003664
                     66,                0.76405,                0.75176,                0.84673,                0.72463,                0.97429,                 0.7624,                0.62399,                0.66969,                0.60777,                0.82597,               0.003565,               0.003565,               0.003565
                     67,                0.76147,                 0.7484,                0.84501,                0.72537,                0.97418,                0.76251,                 0.6242,                0.66905,                0.60758,                0.82583,               0.003466,               0.003466,               0.003466
